test
temperature = 0.835993, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:31.
temperature = 0.836027, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:36.
temperature = 0.835951, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:40.
temperature = 0.835878, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:45.
temperature = 0.835971, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:50.
temperature = 0.835894, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:54.
temperature = 0.835941, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:59.
temperature = 0.836007, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:59:04.
temperature = 0.835893, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:59:08.
temperature = 0.836025, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:59:13.
temperature = 0.835878, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:59:18.
